PA449782	glyburide	Glyburide	A	ALIMENTARY TRACT AND METABOLISMA	A10	Drugs used in diabetes	Alimentary tract and metabolisma	Drugs used in diabetes	A10BB01	NA	A10B	BLOOD GLUCOSE LOWERING DRUGS
PA449171	cysteamine	Cysteamine	A	ALIMENTARY TRACT AND METABOLISMA	A16A	Other alimentary tract and metabolism products	Alimentary tract and metabolisma	Other alimentary tract and metabolism products	A16AA04	NA	A16A	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
PA166129466	lonafarnib	Lonafarnib	A	ALIMENTARY TRACT AND METABOLISMA	A16A	Other alimentary tract and metabolism products	Alimentary tract and metabolisma	Other alimentary tract and metabolism products	A16AX20	NA	A16A	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
PA164746334	cilostazol	Cilostazol	B	BLOOD AND BLOOD FORMING ORGANS	B01A	Antithrombotic agents	Blood and blood forming organs	Antithrombotic agents	B01AC23	NA	B01A	ANTITHROMBOTIC AGENTS
PA449855	heparin	Heparin	B	BLOOD AND BLOOD FORMING ORGANS	B01A	Antithrombotic agents	Blood and blood forming organs	Antithrombotic agents	"B01AB01, C05BA03, S01XA14"	NA	B01A	ANTITHROMBOTIC AGENTS
PA451686	ticlopidine	Ticlopidine	B	BLOOD AND BLOOD FORMING ORGANS	B01A	Platelet aggregation inhibitors excl. heparin	BLOOD AND BLOOD FORMING ORGANS	Platelet aggregation inhibitors excl. heparin	B01AC05	NA	B01A	ANTITHROMBOTIC AGENTS
PA450457	methylene blue	Methylene Blue	B	BLOOD AND BLOOD FORMING ORGANS	B06A	Other hematologic drugs	Blood and blood forming organs	Other hematologic drugs	B06A	NA	B01A	ANTITHROMBOTIC AGENTS
PA450121	isoproterenol	Isoproterenol	C	CARDIOVASCULAR SYSTEM	C01	Cardiac therapy	Cardiovascular system	Cardiac therapy	"C01CA02, R03AB02, R03CB01"	NA	C01C	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
PA452616	debrisoquine	Debrisoquine	C	CARDIOVASCULAR SYSTEM	C02	Guanidine derivatives	CARDIOVASCULAR SYSTEM	Guanidine derivatives	C02CC04	NA	C01E	OTHER CARDIAC PREPARATIONS
PA448970	chlorthalidone	Chlorthalidone	C	CARDIOVASCULAR SYSTEM	C03	Diuretic drugs	Cardiovascular system	Diuretic drugs	C03BA04	NA	C01E	OTHER CARDIAC PREPARATIONS
PA449982	indomethacin	Indomethacin	C	CARDIOVASCULAR SYSTEM	C01	Cardiac therapy	Cardiovascular system	Cardiac therapy	"C01EB03, M01AB01, M02AA23, S01BC01"	NA	C01E	OTHER CARDIAC PREPARATIONS
PA451406	nitroprusside	Nitroprusside	C	CARDIOVASCULAR SYSTEM	C02	Nitroferricyanide derivatives	CARDIOVASCULAR SYSTEM	Nitroferricyanide derivatives	C02DD01	NA	C02D	ARTERIOLAR SMOOTH MUSCLE
