A01A	STOMATOLOGICAL PREPARATIONS	"metronidazole,minocycline,dexamethasone"	"A01AC02,A01AB23,A01AB17"
A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	"esomeprazole,dexlansoprazole,omeprazole,lansoprazole,rabeprazole,pantoprazole"	"A02BC04,A02BC05,A02BC02,A02BC03,A02BC01,A02BC06"
A03F	PROPULSIVES	itopride	A03FA07
A04A	ANTIEMETICS AND ANTINAUSEANTS	"palonosetron,granisetron,ondansetron,tropisetron,dolasetron"	"A04AA03,A04AA04,A04AA05,A04AA02,A04AA01"
A06A	DRUGS FOR CONSTIPATION	naloxone	A06AH04
A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	"prednisone,prednisolone,budesonide,sulfasalazine"	"A07EC01,A07EA01,A07EA06,A07EA03"
A08A	ANTIOBESITY PREPARATIONS	sibutramine	A08AA10
A10B	BLOOD GLUCOSE LOWERING DRUGS	"repaglinide,metformin,glimepiride,pioglitazone,rosiglitazone,liraglutide,vildagliptin,gliclazide,tolbutamide,sitagliptin,troglitazone,glipizide"	"A10BA02,A10BG03,A10BH01,A10BB03,A10BG01,A10BG02,A10BX02,A10BH02,A10BB09,A10BJ02,A10BB07,A10BB12"
A16A	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	"migalastat,zinc acetate"	"A16AX14,A16AX05"
B01A	ANTITHROMBOTIC AGENTS	"phenprocoumon,clopidogrel,acenocoumarol,fluindione,apixaban,prasugrel,cangrelor,warfarin,rivaroxaban,ticagrelor,dabigatran,coumarin"	"B01AC25,B01AF01,B01AF02,B01AC04,B01AA07,B01AC22,B01AA12,B01AC24,B01AA03,B01AA04,B01AE07,B01AE01AA"
B03B	VITAMIN B12 AND FOLIC ACID	"cyanocobalamin,folic acid"	"B03BB01,B03BA01"
C01A	CARDIAC GLYCOSIDES	digoxin	C01AA05
C01B	ANTIARRHYTHMICS	"quinidine,flecainide,amiodarone,propafenone,mexiletine,disopyramide"	"C01BC03,C01BC04,C01BA03,C01BA01,C01BB02,C01BD01"
C01C	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES	"dobutamine,phenylephrine,ephedrine"	"C01CA06,C01CA07,C01CA26"
C01E	OTHER CARDIAC PREPARATIONS	"ibuprofen,regadenoson"	"C01EB16,C01EB21"
C02A	ANTIADRENERGIC AGENTS	clonidine	C02AC01
C02D	ARTERIOLAR SMOOTH MUSCLE	hydralazine	C02DB02
C03A	LOW-CEILING DIURETICS	hydrochlorothiazide	C03AA03
C03C	HIGH-CEILING DIURETICS	"bumetanide,furosemide,torasemide"	"C03CA04,C03CA02,C03CA01"
C03D	POTASSIUM-SPARING AGENTS	spironolactone	C03DA01
C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	"triamcinolone,prednisolone,dexamethasone"	"C05AA09,C05AA04,C05AA12"
C07A	BETA BLOCKING AGENTS	"propranolol,carvedilol,metoprolol,bisoprolol,talinolol,atenolol,timolol"	"C07AA05,C07AB13,C07AB03,C07AB07,C07AB02,C07AA06,C07AG02"
